id,country,area,vessel,gear,rigging,door,year,month,day,haul_number,codend_closing,shooting_time,shooting_quadrant,shooting_latitude,shooting_longitude,shooting_depth,hauling_time,hauling_quadrant,hauling_latitude,hauling_longitude,hauling_depth,hauling_duration,validity,course,recorded_species,distance,vertical_opening,wing_opening,geometrical_precision,bridles_length,warp_length,warp_diameter,hydrological_station,observations,tf,todeb,tofin,method,nstrate,partit,upload_id,SST,X,Y
56700,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,23,34,S,1150,1,4142.87,1151.71,710,1250,1,4140.84,1152.04,750,60,V,R,3,3790,22,192,E,150,1900,14,NA,0,TA,13.8,13.7,SI,13220,S,486,21.67324639,11.86458333,41.69758333
56687,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,27,21,S,700,1,4140.18,1215.53,24,730,1,4139.84,1217.85,22,30,V,R,3,3270,24,146,E,100,250,14,NA,0,TA,18.2,18,SI,13216,S,486,21.778759,12.27816667,41.66683333
56705,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,22,39,S,1020,1,4147.1,1128.29,610,1120,1,4144.1,1128.5,640,60,V,N,3,5580,22,189,E,150,1800,14,NA,0,TA,13.8,13.7,SI,13220,S,486,21.65320873,11.47325,41.76
56701,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,22,35,S,930,1,4149.4,1146.34,500,1030,1,4147.33,1148.87,500,60,V,N,3,5190,22,187,E,150,1600,14,NA,0,TA,13.8,13.7,SI,13219,S,486,21.69455433,11.79341667,41.80608333
56699,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,23,33,S,1450,1,4146.27,1150.27,560,1550,1,4145.58,1153.25,530,60,V,R,3,4310,22,188,E,150,1750,14,NA,0,TA,13.8,13.7,SI,13220,S,486,21.72088766,11.86266667,41.76541667
56703,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,22,37,S,1650,1,4148.89,1150.81,324,1750,1,4147.75,1153.37,333,60,V,N,3,4111,22,181,E,150,1200,14,NA,0,TA,13.6,13.7,SI,13219,S,486,21.72088766,11.86816667,41.80533333
56698,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,23,32,S,1730,1,4147.79,1156.52,165,1800,1,4146.59,1158.39,167,30,V,N,3,3408,22,172,E,100,700,14,NA,0,TA,13.8,13.7,SI,13218,S,486,21.741539,11.95758333,41.7865
56696,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,24,30,S,800,1,4150.28,1158.54,105,830,1,4150.3,1156.85,103,30,V,R,3,2330,23,166,E,100,500,14,NA,0,TA,13.6,13.7,SI,13218,S,486,21.741539,11.96158333,41.83816667
56697,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,24,31,S,633,1,4148.03,1202.99,95,703,1,4149.85,1202.38,93,30,V,R,3,3470,23,165,E,100,500,14,NA,0,TA,13.9,13.7,SI,13217,S,486,21.741539,12.04475,41.81566667
56694,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,24,28,S,1125,1,4150.28,1207.89,15,1155,1,4151.28,1207.89,15,30,V,R,3,1852,24,141,E,100,250,14,NA,0,TA,20.1,20.4,SI,13216,S,486,21.76246691,12.1315,41.84633333
56695,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,24,29,S,1000,1,4150.49,1204.52,43,1030,1,4149.39,1206.01,45,30,V,R,3,2890,23,155,E,100,350,14,NA,0,TA,15.5,15,SI,13216,S,486,21.76246691,12.08775,41.83233333
56704,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,22,38,S,1354,1,4152.89,1141.31,386,1454,1,4151.21,1143.86,406,60,V,R,3,4700,22,184,E,150,1450,14,NA,0,TA,13.9,13.7,SI,13219,S,486,21.72763443,11.70975,41.8675
56706,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,22,40,S,704,1,4157.01,1130.5,393,815,1,4159.37,1130.04,407,71,V,N,3,4420,22,184,E,150,1450,14,NA,0,TA,13.9,13.9,SI,13219,S,486,21.72308922,11.5045,41.96983333
56702,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,23,36,S,647,1,4159.51,1140.41,118,717,1,4159.25,1142,118,30,V,R,3,2240,23,168,E,100,550,14,NA,0,TA,14,13.7,SI,13218,S,486,21.73142815,11.68675,41.98966667
56720,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,22,54,S,1035,1,4202.52,1057.79,375,1135,1,4205.21,1055.36,365,60,V,R,3,5990,22,183,E,150,1200,14,NA,0,TA,NA,NA,SI,13214,S,486,21.48859596,10.94291667,42.06441667
56719,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,22,53,S,725,1,4206.05,1058.32,305,825,1,4208.11,1055.55,302,60,V,R,3,5390,22,180,E,150,1050,14,NA,0,TA,NA,NA,SI,13214,S,486,21.48859596,10.94891667,42.118
56708,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,21,42,S,1250,1,4208.5,1118.15,160,1320,1,4208.89,1120.08,160,30,V,R,3,2750,23,172,E,100,700,14,NA,0,TA,13.9,14,SI,13218,S,486,21.6606865,11.31858333,42.14491667
56707,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,21,41,S,1533,1,4202.88,1117.92,347,1633,1,4204.36,1114.45,340,60,V,N,3,5500,22,182,E,150,1300,14,NA,0,TA,13.9,13.8,SI,13219,S,486,21.6606865,11.26975,42.06033333
56740,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,26,74,S,1640,1,4212.73,957.32,574,1740,1,4209.43,957.92,552,60,V,N,3,6170,22,188,E,150,1550,14,NA,0,TA,13.7,13.8,SI,13215,S,486,21.2448988,9.960333333,42.18466667
56741,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,27,75,S,710,1,4215.67,1010.05,194,740,1,4213.91,1010.38,184,30,V,N,3,3290,22,174,E,100,700,14,NA,0,TA,13.7,13.7,SI,13213,S,486,21.26404953,10.17025,42.2465
56744,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,30,78,S,835,1,4209.83,1024.29,560,935,1,4211.48,1027.63,535,60,V,R,3,5510,22,188,E,150,1500,14,NA,0,TA,13.7,13.7,SI,13215,S,486,21.29247475,10.43266667,42.17758333
56747,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,30,81,S,1520,1,4213.72,1042.71,650,1620,1,4214.07,1046.7,630,60,V,N,3,5510,22,190,E,150,1650,14,NA,0,TA,13.7,13.7,SI,13215,S,486,21.40098954,10.74508333,42.23158333
56709,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,21,43,S,1203,1,4210.3,1114.6,126,1233,1,4209.52,1116.27,135,30,V,N,3,2710,23,169,E,100,600,14,NA,0,TA,14,14,SI,13218,S,486,21.62651444,11.25725,42.16516667
56735,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,25,69,S,1845,1,4215.4,1022.48,404,1945,1,4218.33,1023.53,410,60,V,N,3,5610,22,184,E,150,1250,14,NA,0,TA,13.7,13.7,SI,13214,S,486,21.35196782,10.38341667,42.28108333
56745,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,30,79,S,1036,1,4214.32,1028.72,540,1136,1,4217.25,1029.23,570,60,V,N,3,5470,22,188,E,150,1550,14,NA,0,TA,13.7,13.7,SI,13215,S,486,21.3745842,10.48291667,42.26308333
56734,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,25,68,S,1555,1,4216.88,1030.07,610,1655,1,4214.06,1030.83,595,60,V,N,3,5330,22,189,E,150,1600,14,NA,0,TA,13.7,13.8,SI,13215,S,486,21.3745842,10.5075,42.25783333
56733,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,25,67,S,1315,1,4218.56,1035.27,557,1415,1,4215.52,1036.96,586,60,V,N,3,6090,22,188,E,150,1550,14,NA,0,TA,13.7,13.7,SI,13215,S,486,21.4020691,10.60191667,42.284
56746,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,30,80,S,1240,1,4218.13,1034.25,590,1340,1,4216.05,1036.48,569,60,V,R,3,4920,22,188,E,150,1550,14,NA,0,TA,13.6,13.7,SI,13215,S,486,21.4020691,10.58941667,42.28483333
56722,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,22,56,S,1632,1,4218.09,1043.13,280,1712,1,4217.43,1046.33,282,40,V,R,3,4556,22,179,E,150,1100,14,NA,0,TA,NA,NA,SI,13214,S,486,21.43556976,10.7455,42.296
56721,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,22,55,S,1402,1,4214.53,1041.54,520,1502,1,4215.5,1038.09,528,60,V,R,3,5060,22,187,E,150,1550,14,NA,0,TA,NA,NA,SI,13215,S,486,21.43556976,10.66358333,42.25025
56712,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,21,46,S,711,1,4219.86,1117.15,65,741,1,4219.13,1119.14,70,30,V,R,3,3040,23,160,E,100,400,14,NA,0,TA,14.5,14.4,SI,13217,S,486,21.55669594,11.30241667,42.32491667
56711,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,21,45,S,840,1,4216.69,1121.92,91,910,1,4216.29,1123.24,93,30,V,N,3,1950,23,165,E,100,450,14,NA,0,TA,13.9,14,SI,13217,S,486,21.6218319,11.37633333,42.27483333
56738,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,26,72,S,1135,1,4227.47,955.84,749,1235,1,4224.66,957.26,752,60,V,R,3,5550,22,192,E,150,1800,14,NA,0,TA,13.7,13.7,SI,13215,S,486,21.27799034,9.9425,42.43441667
56739,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,26,73,S,1350,1,4225.23,958.13,529,1450,1,4222.29,958.91,540,60,V,R,3,5550,22,187,E,150,1450,14,NA,0,TA,13.7,13.7,SI,13215,S,486,21.28549004,9.975333333,42.396
56742,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,27,76,S,930,1,4224.38,1013.63,160,1000,1,4226.11,1013.37,154,30,V,R,3,3220,23,171,E,100,600,14,NA,0,TA,13.7,13.7,SI,13213,S,486,21.32098436,10.225,42.42075
56748,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,31,82,S,815,1,4226.25,1033.93,376,915,1,4225.63,1030.2,383,60,V,R,3,5230,22,183,E,150,1250,14,NA,0,TA,13.8,13.7,SI,13214,S,486,21.38938332,10.53441667,42.43233333
56743,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,27,77,S,1145,1,4224.73,1026.8,356,1245,1,4226.37,1030.44,356,60,V,N,3,5830,22,182,E,150,1150,14,NA,0,TA,13.8,13.7,SI,13214,S,486,21.38938332,10.477,42.42583333
56732,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,25,66,S,1015,1,4225.58,1036.67,388,1115,1,4225.59,1031.92,391,60,V,N,3,6490,22,183,E,150,1200,14,NA,0,TA,13.8,13.7,SI,13214,S,486,21.41290856,10.57158333,42.42641667
56725,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,23,59,S,1150,1,4224.54,1053.74,130,1220,1,4223.54,1055.37,134,30,V,R,3,2900,23,169,E,100,600,14,NA,0,TA,NA,NA,SI,13213,S,486,21.51643324,10.90925,42.40066667
56726,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,23,60,S,1423,1,4222.51,1104.34,86,1453,1,4224.05,1103.35,80,30,V,R,3,3160,23,163,E,100,450,14,NA,0,TA,NA,NA,SI,13212,S,486,21.54814816,11.06408333,42.388
56737,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,26,71,S,916,1,4230.39,956.94,609,1016,1,4227.29,957.37,614,60,V,N,3,5770,22,189,E,150,1600,14,NA,0,TA,13.6,13.6,SI,13215,S,486,21.24934959,9.952583333,42.48066667
56736,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,25,70,S,700,1,4228.01,958.52,415,800,1,4230.74,959.65,440,60,V,N,3,5290,22,185,E,150,1350,14,NA,0,TA,13.6,13.8,SI,13214,S,486,21.24934959,9.98475,42.48958333
56750,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,31,84,S,1418,1,4232.52,1023.5,180,1448,1,4233.21,1025.51,176,30,V,R,3,3030,22,173,E,100,750,14,NA,0,TA,13.7,13.7,SI,13213,S,486,21.35982323,10.40841667,42.54775
56749,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,31,83,S,1035,1,4229.06,1026.61,250,1135,1,4227.85,1022.59,249,60,V,R,3,5930,22,178,E,150,850,14,NA,0,TA,13.8,13.7,SI,13214,S,486,21.35982323,10.41,42.47425
56731,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,25,65,S,735,1,4226.7,1041.79,275,835,1,4228.77,1038.79,274,60,V,N,3,5610,22,179,E,150,950,14,NA,0,TA,13.8,13.7,SI,13214,S,486,21.43363762,10.6715,42.46225
56730,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,24,64,S,1310,1,4228.43,1042.66,253,1410,1,4226.05,1044.26,244,60,V,R,3,4920,22,177,E,150,900,14,NA,0,TA,NA,NA,SI,13214,S,486,21.43363762,10.72433333,42.454
56724,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,23,58,S,1013,1,4228.94,1052.94,110,1043,1,4227.82,1054.96,110,30,V,R,3,3442,23,167,E,100,550,14,NA,0,TA,NA,NA,SI,13213,S,486,21.50025368,10.89916667,42.473
56723,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,23,57,S,835,1,4230.13,1051.08,130,905,1,4228.72,1051.7,131,30,V,R,3,2750,23,169,E,100,600,14,NA,0,TA,NA,NA,SI,13213,S,486,21.50025368,10.8565,42.49041667
56718,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,21,52,S,1745,1,4232.26,1103.66,62,1815,1,4230.56,1104.74,62,30,V,R,3,3480,23,159,E,100,400,14,NA,0,TA,NA,NA,SI,13212,S,486,21.61914253,11.07,42.5235
56713,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,21,47,S,706,1,4228.62,1109.81,12,736,1,4230.02,1109.76,12,30,V,N,3,2590,24,138,E,100,200,14,NA,0,TA,NA,NA,SI,13211,S,486,21.61914253,11.16308333,42.48866667
56751,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,31,85,S,1742,1,4237.02,1031.74,138,1812,1,4237.42,1030.19,132,30,V,R,3,2240,23,170,E,100,600,14,NA,0,TA,13.5,13.7,SI,13213,S,486,21.34846688,10.51608333,42.62033333
56729,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,24,63,S,1105,1,4234.65,1040.46,159,1135,1,4234.54,1042.58,154,30,V,R,3,2900,23,171,E,100,650,14,NA,0,TA,NA,NA,SI,13213,S,486,21.38927365,10.692,42.57658333
56716,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,22,50,S,1403,1,4237.36,1051.66,107,1433,1,4235.84,1052.56,108,30,V,R,3,3070,23,167,E,100,500,14,NA,0,TA,NA,NA,SI,13213,S,486,21.41439009,10.8685,42.61
56717,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,21,51,S,1650,1,4238.47,1055.32,82,1720,1,4237,1056.58,86,30,V,R,3,3224,23,163,E,100,450,14,NA,0,TA,NA,NA,SI,13212,S,486,21.41439009,10.9325,42.62891667
56715,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,21,49,S,955,1,4237.05,1100.36,15,1025,1,4236.34,1102.25,13,30,V,N,3,2889,24,140,E,100,100,14,NA,0,TA,NA,NA,SI,13211,S,486,21.50479985,11.02175,42.61158333
56710,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,21,44,S,1018,1,4237.28,1102.04,106,1048,1,4238.25,1104.04,107,30,V,N,3,3297,23,166,E,100,500,14,NA,0,TA,14.1,14,SI,13218,S,486,21.58738327,11.05066667,42.62941667
56714,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,21,48,S,845,1,4234.04,1105.37,25,915,1,4235.29,1104.33,25,30,V,R,3,2710,24,148,E,100,150,14,NA,0,TA,NA,NA,SI,13211,S,486,21.58738327,11.08083333,42.57775
56752,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,31,86,S,1930,1,4240.12,1020.54,99,2000,1,4240.94,1022.67,95,30,V,R,3,3270,23,165,E,100,500,14,NA,0,TA,13.7,13.7,SI,13212,S,486,21.15309239,10.36008333,42.6755
56728,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,24,62,S,907,1,4239.61,1044.53,112,937,1,4238.49,1046.21,110,30,V,N,3,3090,23,167,E,100,550,14,NA,0,TA,NA,NA,SI,13213,S,486,21.26544571,10.75616667,42.65083333
56727,ITA,9,FRP,GOC73,GC73,WHS8,1994,5,24,61,S,705,1,4241.81,1053.21,68,735,1,4243.1,1051.29,65,30,V,N,3,3540,23,160,E,100,400,14,NA,0,TA,NA,NA,SI,13212,S,486,21.31518459,10.87083333,42.70758333
56758,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,2,92,S,1615,1,4251.5,1002.72,89,1645,1,4249.98,1002.98,88,30,V,N,3,2840,23,164,E,100,450,14,NA,0,TA,NA,NA,SI,13207,S,486,21.0768652,10.0475,42.84566667
56759,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,2,93,S,1800,1,4249.2,1002.06,77,1830,1,4250.57,1003.39,80,30,V,R,3,3110,23,162,E,100,400,14,NA,0,TA,NA,NA,SI,13207,S,486,21.0768652,10.04541667,42.83141667
56753,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,1,87,S,711,1,4251.4,1041.84,32,741,1,4249.82,1042.65,33,30,V,N,3,3130,24,151,E,100,300,14,NA,0,TA,NA,NA,SI,13211,S,486,21.18634701,10.70408333,42.8435
56754,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,1,88,S,840,1,4246.87,1038.69,66,910,1,4246.79,1041.31,65,30,V,R,3,3560,23,160,E,100,400,14,NA,0,TA,NA,NA,SI,13212,S,486,21.18634701,10.66666667,42.7805
56757,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,2,91,S,1320,1,4255.82,1005.98,113,1350,1,4257.18,1004.56,110,30,V,N,3,3170,23,167,E,100,550,14,NA,0,TA,NA,NA,SI,13208,S,486,21.07861281,10.08783333,42.94166667
56756,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,2,90,S,1136,1,4254.07,1013.3,113,1206,1,4255.02,1011.77,114,30,V,N,3,2720,23,167,E,100,550,14,NA,0,TA,NA,NA,SI,13208,S,486,21.15926361,10.20891667,42.90908333
56762,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,3,96,S,1305,1,4300.08,938.99,377,1405,1,4303.05,938.03,378,60,V,N,3,5650,22,183,E,150,1200,14,NA,0,TA,NA,NA,SI,13209,S,486,20.73178864,9.641833333,43.02608333
56760,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,3,94,S,750,1,4257.35,946.2,405,850,1,4259.11,943.12,399,60,V,N,3,5300,22,184,E,150,1250,14,NA,0,TA,NA,NA,SI,13209,S,486,20.80282974,9.744333333,42.9705
56761,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,3,95,S,1120,1,4259.17,945.39,160,1150,1,4300.57,943.66,170,30,V,N,3,3500,23,172,E,100,650,14,NA,0,TA,NA,NA,SI,13208,S,486,20.80282974,9.742083333,42.99783333
56755,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,2,89,S,942,1,4256.61,1021.48,96,1012,1,4258.36,1021.8,98,30,V,R,3,3270,23,165,E,100,500,14,NA,0,TA,NA,NA,SI,13207,S,486,21.14951229,10.36066667,42.95808333
56763,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,3,97,S,1515,1,4303.25,940.38,460,1615,1,4305.73,938.5,460,60,V,N,3,5250,21,185,E,150,1350,14,NA,0,TA,NA,NA,SI,13209,S,486,20.68600273,9.657333333,43.07483333
56765,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,4,99,S,745,1,4308.08,1000.78,180,815,1,4309.57,1000.23,188,30,V,R,3,2860,22,174,E,100,750,14,NA,0,TA,NA,NA,SI,13208,S,486,20.79043293,10.00841667,43.14708333
56769,ITA,9,FRP,GOC73,GC73,WHS8,1994,6,6,103,S,1530,1,4304.37,1006.29,147,1600,1,4306,1006.54,146,30,V,R,3,3040,23,171,E,100,650,14,NA,0,TA,13.5,13.6,SI,13208,S,486,20.90405989,10.10691667,43.08641667
